Start Time,Frequency,Node Name,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575690061151,2500.012,169.254.110.69,ce:6b:3e:6a:e0:e0,90.00B,90.00B,4.626703262329101e-06,4.3506145477294926e-06,-2.760887145996088e-07
1575690061084,2500.014,169.254.250.85,0a:d7:d7:2b:e8:88,90.00B,90.00B,4.366397857666016e-06,4.343032836914063e-06,-2.336502075195288e-08
1575690061105,2500.012,169.254.27.213,02:cd:02:b3:e0:6d,90.00B,90.00B,4.578971862792969e-06,4.37474250793457e-06,-2.042293548583985e-07
1575690061079,2500.006,169.254.195.205,06:42:c1:5d:9f:5c,90.00B,90.00B,4.497385025024414e-06,4.084062576293945e-06,-4.1332244873046855e-07
1575690061187,2500.002,169.254.153.165,66:b6:0a:4d:56:39,90.00B,90.00B,4.616117477416992e-06,4.379606246948242e-06,-2.365112304687502e-07
1575690061064,2500.012,169.254.237.61,86:b8:dd:37:cb:32,90.00B,90.00B,4.359149932861328e-06,4.5691490173339845e-06,2.0999908447265642e-07
1575690061166,2500.01,169.254.199.245,7a:68:7f:06:93:15,90.00B,90.00B,5.192279815673828e-06,4.717683792114258e-06,-4.745960235595696e-07
1575690061118,2500.012,169.254.188.37,aa:12:8c:2e:fc:d3,180.00B,90.00B,4.36863899230957e-06,4.067420959472656e-06,-3.0121803283691424e-07
1575690061114,2500.002,169.254.213.117,86:f5:6b:e8:58:f1,90.00B,90.00B,4.333305358886719e-06,3.952789306640625e-06,-3.8051605224609377e-07
1575690061149,2499.998,169.254.87.69,0a:2a:42:fd:8c:ac,90.00B,90.00B,4.22825813293457e-06,4.371547698974609e-06,1.4328956604003885e-07
1575690061081,2500.002,169.254.139.109,d2:6b:c4:28:19:a0,90.00B,90.00B,4.5081138610839845e-06,4.587316513061524e-06,7.920265197753913e-08
1575690061154,2500.01,169.254.193.237,3e:6b:a0:5f:40:8d,90.00B,90.00B,4.50139045715332e-06,4.552507400512695e-06,5.11169433593753e-08
1575690061092,2500.008,169.254.84.125,42:13:8f:0a:5c:06,90.00B,90.00B,4.4107913970947265e-06,4.066848754882813e-06,-3.4394264221191377e-07
1575690061186,2500.012,169.254.115.189,8e:fd:ac:63:d7:d6,90.00B,90.00B,4.345130920410156e-06,4.0318012237548825e-06,-3.1332969665527334e-07
