start_time,MAC Addr,IP,imax_value,iavg_value,fmax_value,favg_value
1575504858418,23:8b:20:9e:34:9f,localhost,0.010397911071777344,9.997892379760742e-05,0.0384678840637207,0.0001268763542175293
1575504860012,7d:e7:52:76:75:36,localhost,0.0073239803314208984,4.217433929443359e-05,0.0050811767578125,4.718327522277832e-05
1575504858178,53:f6:14:02:10:78,localhost,0.007092714309692383,8.852267265319824e-05,0.0072629451751708984,0.00010416507720947265
1575504860183,07:a0:93:c3:ef:3e,localhost,0.00460505485534668,3.938603401184082e-05,0.004373788833618164,3.57670783996582e-05
1575504860756,3f:0c:93:fe:7d:35,localhost,0.0026721954345703125,2.8197526931762697e-05,0.0035681724548339844,2.2473335266113282e-05
1575504859988,e9:c5:30:8d:22:1b,localhost,0.004361391067504883,7.172417640686036e-05,0.0018625259399414062,2.570509910583496e-05
1575504860111,11:76:3e:ca:80:8c,localhost,0.00882863998413086,8.05208683013916e-05,0.003201007843017578,3.282070159912109e-05
1575504859555,8d:03:de:68:02:0c,localhost,0.006930351257324219,4.468894004821777e-05,0.003866910934448242,3.96580696105957e-05
1575504859706,b7:2c:28:e3:42:e6,localhost,0.007990837097167969,9.805417060852051e-05,0.0057561397552490234,6.224799156188965e-05
1575504860500,b1:05:1e:c5:3e:b7,localhost,0.005911588668823242,5.64115047454834e-05,0.005776882171630859,4.740500450134277e-05
1575504859560,79:52:b2:9d:c5:aa,localhost,0.003324270248413086,4.216933250427246e-05,0.005101203918457031,5.218839645385742e-05
1575504860510,b1:00:69:77:18:a9,localhost,0.006875276565551758,8.150005340576172e-05,0.0025930404663085938,3.888678550720215e-05
1575504859593,b3:60:02:44:f7:01,localhost,0.009017705917358398,6.725239753723144e-05,0.008977413177490234,9.663820266723632e-05
1575504860265,5f:09:4a:8c:83:e2,localhost,0.00868082046508789,8.452510833740234e-05,0.004369497299194336,6.418514251708984e-05
1575504859875,31:5c:e3:7b:6a:68,localhost,0.0071506500244140625,7.441210746765137e-05,0.004763126373291016,5.1698923110961916e-05
1575504861239,d5:bf:3f:4d:7b:91,localhost,0.007353067398071289,6.803679466247559e-05,0.0009412765502929688,2.2233009338378905e-05
1575504861257,01:0a:22:45:d8:9e,localhost,0.008064031600952148,8.808779716491699e-05,0.0051114559173583984,3.642439842224121e-05
1575504860248,93:5c:33:27:9c:f6,localhost,0.007177829742431641,8.084821701049804e-05,0.00840449333190918,9.283638000488282e-05
1575504861338,5b:31:35:d0:e7:b0,localhost,0.07099628448486328,0.00016033458709716796,0.0017137527465820312,2.971458435058594e-05
1575504857881,5b:8d:2c:8e:d1:0d,localhost,0.013086318969726562,0.00013305521011352538,0.04134988784790039,0.00017272591590881348
1575504861839,3b:5c:c8:94:da:8e,localhost,0.06339383125305176,0.00014842653274536134,0.004335641860961914,3.305649757385254e-05
1575504860874,7b:fa:6a:6f:0a:fd,localhost,0.009878396987915039,7.595348358154297e-05,0.018725872039794922,0.0001026015281677246
1575504860354,8d:85:00:a2:bc:f9,localhost,0.017510414123535156,0.0001183481216430664,0.00911092758178711,0.00010392165184020997
1575504861296,79:ae:10:8f:29:5b,localhost,0.009845495223999023,9.260821342468262e-05,0.0028421878814697266,4.935121536254883e-05
1575504861556,1b:7f:3e:98:cb:49,localhost,0.010813236236572266,9.186244010925292e-05,0.005445241928100586,5.0396442413330075e-05
1575504861351,af:2d:13:9c:a2:50,localhost,0.013226509094238281,0.00010158276557922364,0.008759498596191406,6.604146957397461e-05
1575504859646,01:bd:81:b5:ec:e8,localhost,0.014554738998413086,0.0001623067855834961,0.025368213653564453,0.00014069414138793946
1575504861583,81:b1:3e:03:20:67,localhost,0.008403778076171875,5.1355600357055667e-05,0.004911899566650391,4.129767417907715e-05
1575504860143,2d:ba:29:b3:fb:11,localhost,0.014573335647583008,0.00018914484977722168,0.0028717517852783203,3.555750846862793e-05
1575504860223,7f:71:94:62:4d:8c,localhost,0.01115107536315918,0.00010656356811523437,0.018710851669311523,0.00012705302238464355
1575504862614,8f:69:e0:77:dd:a4,localhost,0.0060307979583740234,7.999873161315918e-05,0.0022215843200683594,3.815269470214844e-05
1575504860977,1f:20:dd:2c:a1:93,localhost,0.015030622482299805,0.00011024546623229981,0.0466458797454834,0.000147691011428833
1575504860783,85:5a:92:26:fa:30,localhost,0.008712291717529297,9.468770027160645e-05,0.015314579010009766,6.906342506408691e-05
1575504862654,2f:71:e6:8b:e2:eb,localhost,0.004934787750244141,3.8512706756591795e-05,0.0035855770111083984,3.8040637969970704e-05
1575504861603,b1:00:6a:12:03:35,localhost,0.019010543823242188,0.00012601637840270997,0.00498652458190918,9.470033645629883e-05
1575504861625,bd:a5:74:56:bb:6b,localhost,0.010749340057373047,9.164285659790039e-05,0.004153728485107422,5.301475524902344e-05
1575504862728,4b:89:79:39:6d:68,localhost,0.013840436935424805,5.36196231842041e-05,0.0070648193359375,3.0840158462524416e-05
1575504859981,d7:b9:a1:9c:98:50,localhost,0.006070613861083984,7.119822502136231e-05,0.028571367263793945,0.0001819155216217041
1575504861468,ab:eb:41:f1:59:95,localhost,0.08001494407653809,0.00018931818008422851,0.005521535873413086,6.998538970947266e-05
1575504860761,c1:07:b7:8e:28:c3,localhost,0.015637636184692383,0.00012063813209533691,0.013081073760986328,0.00015317535400390626
1575504860993,0b:5e:ba:b0:8b:63,localhost,0.016130447387695312,0.0001273655891418457,0.0074024200439453125,9.417462348937989e-05
1575504861678,c7:69:b4:0f:a4:9b,localhost,0.008087635040283203,8.498120307922364e-05,0.008411645889282227,6.876254081726074e-05
1575504863159,9b:04:c2:88:74:ea,localhost,0.010719060897827148,0.00012080097198486328,0.0035142898559570312,3.783607482910156e-05
