Logs,Boot ID,MAC Address,Bit-1 Sample,Base Sample,Phase 3,Bit-0 Sample,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
out/09-09-23-28/log,5e02c0f4-6bcd-4091-a142-5c2fca4d456d,1E:72:22:39:7F:E4,out/09-09-23-28/bit1_samples66,out/09-09-23-28/base_samples66,66,out/09-09-23-28/bit0_samples66,66,66,3,2020-09-10 06:28:17,2020-09-10 06:29:16,66,88020648-f3b2-4ddb-b0b3-4f2aa5f20762,1,
out/09-09-23-28/log,dc99fce5-18a2-44eb-a6b1-4425ec2323fc,5A:3D:87:5A:51:AD,out/09-09-23-28/bit1_samples61,out/09-09-23-28/base_samples61,66,out/09-09-23-28/bit0_samples61,70,66,3,2020-09-10 06:28:17,2020-09-10 06:29:17,61,44c23281-0970-46ff-a5f8-0307aaf094cc,1,
out/09-09-23-28/log,5f58f6b8-e2dd-40f2-ac63-c93e25c35f03,B6:BB:02:22:88:AC,out/09-09-23-28/bit1_samples43,out/09-09-23-28/base_samples43,43,out/09-09-23-28/bit0_samples43,43,43,3,2020-09-10 06:28:22,2020-09-10 06:29:17,43,11181678-f4e3-4028-84a1-7b1cc2948778,1,
out/09-09-23-28/log,8354a24c-8f79-4bfe-a376-42515c32afbb,B6:F7:EE:B4:36:DE,out/09-09-23-28/bit1_samples42,out/09-09-23-28/base_samples42,42,out/09-09-23-28/bit0_samples42,42,42,3,2020-09-10 06:28:17,2020-09-10 06:29:16,42,db2b51fe-ba89-49d8-8e44-7e9b1144ec88,1,
out/09-09-23-28/log,bb978654-e1d1-4c2e-bfd7-9a3eb5223dd1,66:94:E1:D4:C5:8D,out/09-09-23-28/bit1_samples15,out/09-09-23-28/base_samples15,56,out/09-09-23-28/bit0_samples15,56,16,3,2020-09-10 06:28:17,2020-09-10 06:29:17,15,39fb3253-834a-4e15-829c-cf046ee49508,1,
out/09-09-23-28/log,e633ad71-221d-44d2-9f0f-43f746d606cb,3E:D3:8E:C0:2D:8A,out/09-09-23-28/bit1_samples57,out/09-09-23-28/base_samples57,57,out/09-09-23-28/bit0_samples57,57,57,3,2020-09-10 06:28:17,2020-09-10 06:29:17,57,ef6a30d8-f195-4b79-8594-02f2b867906d,1,
out/09-09-23-28/log,918d2cb5-650c-4d51-abb0-cc42f435b33c,66:BC:99:40:91:56,out/09-09-23-28/bit1_samples74,out/09-09-23-28/base_samples74,74,out/09-09-23-28/bit0_samples74,74,74,3,2020-09-10 06:28:17,2020-09-10 06:29:16,74,b5519831-799f-4290-b498-166619c3ca9b,1,
out/09-09-23-28/log,30aa1901-4506-4729-a78b-641f5b1a0eeb,3A:02:15:C8:33:15,out/09-09-23-28/bit1_samples97,out/09-09-23-28/base_samples97,97,out/09-09-23-28/bit0_samples97,97,97,3,2020-09-10 06:28:17,2020-09-10 06:29:17,97,576b4f7b-9204-4a61-8d70-14c03b3e7f1e,1,
out/09-09-23-28/log,3d2563eb-781b-4028-af13-7922c10b1104,66:97:99:E6:56:D4,out/09-09-23-28/bit1_samples11,out/09-09-23-28/base_samples11,11,out/09-09-23-28/bit0_samples11,11,11,3,2020-09-10 06:28:22,2020-09-10 06:29:17,11,6171e5a7-62f0-4e90-b458-fb3210a333ae,1,
out/09-09-23-28/log,5e0e10bb-672a-4d1c-b043-4b9f09ad6789,42:E3:0E:10:F6:8D,out/09-09-23-28/bit1_samples40,out/09-09-23-28/base_samples40,40,out/09-09-23-28/bit0_samples40,40,40,3,2020-09-10 06:28:22,2020-09-10 06:29:16,40,bd2eb280-6b49-4ab0-8d6e-2af96e05e833,1,
