GUID,Success,Id,Request ID,Start Time,Phases,Phase 1,Logs,Base Sample,Bit-1 Pvalue,Bit-0 Sample,Error,Bit-0 Pvalue,MAC Address,End Time,Boot ID,Bit-1 Sample,Predecessors,Warm Start
09-17-02-39-89,1,89,2e02a006-5889-473b-bc6a-b01f7163e0a9,2020-09-17 09:39:23,1,89,out/09-17-02-39/log,out/09-17-02-39/base_samples89,0,out/09-17-02-39/bit0_samples89,,0.362920038011785,8A:C3:2E:61:E5:EA,2020-09-17 09:40:01,a28d7241-3cf7-4d6b-934c-7d0bc314d927,out/09-17-02-39/bit1_samples89,,No
09-17-02-39-84,1,84,1b4e0e3a-1d80-449b-919a-71938542193c,2020-09-17 09:39:23,1,84,out/09-17-02-39/log,out/09-17-02-39/base_samples84,0,out/09-17-02-39/bit0_samples84,,0.845817793181429,EA:97:F8:27:E2:3F,2020-09-17 09:40:01,a61f531f-440e-417b-828c-6ae439c01ec5,out/09-17-02-39/bit1_samples84,,No
09-17-02-39-68,1,68,25c3d1fe-7193-4040-a932-8024b6eaf28c,2020-09-17 09:39:23,1,68,out/09-17-02-39/log,out/09-17-02-39/base_samples68,0,out/09-17-02-39/bit0_samples68,,0.694420890255992,22:B5:81:E8:51:B6,2020-09-17 09:40:01,f14ca423-41e3-44f8-8541-587588675fa1,out/09-17-02-39/bit1_samples68,,No
09-17-02-39-100,1,100,8ee6a42d-c6a3-45d6-adf1-e9a43875a752,2020-09-17 09:39:23,1,100,out/09-17-02-39/log,out/09-17-02-39/base_samples100,0,out/09-17-02-39/bit0_samples100,,0.578150124195755,0A:E9:E8:6D:FF:A5,2020-09-17 09:40:01,2900f285-5664-4330-b300-26a4a7e123b3,out/09-17-02-39/bit1_samples100,,No
09-17-02-39-22,1,22,ec3d16c0-1b0b-4841-8472-a6b9c70a9eb1,2020-09-17 09:39:23,1,22,out/09-17-02-39/log,out/09-17-02-39/base_samples22,0,out/09-17-02-39/bit0_samples22,,0.0102299428552222,BE:68:BF:C3:D8:C3,2020-09-17 09:40:01,ca4873b2-057f-4b60-8969-666a7c1a4e87,out/09-17-02-39/bit1_samples22,,No
09-17-02-39-11,1,11,696b3e4c-c6a5-4146-b1e2-c08b81b66be9,2020-09-17 09:39:23,1,11,out/09-17-02-39/log,out/09-17-02-39/base_samples11,0,out/09-17-02-39/bit0_samples11,,0.330133410526674,0E:3A:C5:E6:D5:66,2020-09-17 09:40:01,ec1e8c09-5b97-4853-9812-ec98681c4814,out/09-17-02-39/bit1_samples11,,No
09-17-02-39-96,1,96,843f0365-b822-4d76-be0f-861e51788fdd,2020-09-17 09:39:23,1,96,out/09-17-02-39/log,out/09-17-02-39/base_samples96,0,out/09-17-02-39/bit0_samples96,,0.350114841755914,66:51:0B:C0:B3:DE,2020-09-17 09:40:01,334e9796-fb1b-4e80-9a1f-ece906ebb66e,out/09-17-02-39/bit1_samples96,,No
09-17-02-39-45,1,45,c689f902-9c81-4495-a16d-2100f8a85cf9,2020-09-17 09:39:23,1,45,out/09-17-02-39/log,out/09-17-02-39/base_samples45,0,out/09-17-02-39/bit0_samples45,,0.227851830036305,F6:3D:0C:22:32:BA,2020-09-17 09:40:01,cb4bd66f-a5c2-4dd6-ad7a-f2b947bc6f6e,out/09-17-02-39/bit1_samples45,,No
09-17-02-39-9,1,9,8984188d-a6fb-4139-b52a-aafbba294e7a,2020-09-17 09:39:23,1,9,out/09-17-02-39/log,out/09-17-02-39/base_samples9,0,out/09-17-02-39/bit0_samples9,,0.329683543308024,62:E7:D8:CF:0C:9F,2020-09-17 09:40:01,697fc600-25cf-4337-acfa-645611b30985,out/09-17-02-39/bit1_samples9,,No
09-17-02-39-36,1,36,59cb304a-6140-41a5-bd89-c2e39aa2e51b,2020-09-17 09:39:23,1,36,out/09-17-02-39/log,out/09-17-02-39/base_samples36,0,out/09-17-02-39/bit0_samples36,,0.171221438377546,CE:55:81:1C:E3:78,2020-09-17 09:40:01,95a44f09-7525-4607-83c8-2e0937d08471,out/09-17-02-39/bit1_samples36,,No
