Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
351,46,0,7,2000,6417,3613,1980,17280,228814,1.021477986407219,10863
265,34,0,8,2000,6619,4532,2000,17486,296952,1.018356596600484,10867
1258,178,0,2,1986,6880,10525,2000,17780,156777,1.068639259667121,10900
2378,368,0,9,2000,6607,4778,1868,17537,328988,1.003477002237009,10930
2438,382,0,7,1933,6552,4555,1985,17488,153075,1.05433329544067,10936
507,68,0,4,2000,11497,225908,1910,22445,354930,1.002220322684443,10948
1704,258,0,5,1932,6734,4942,1997,17689,271929,1.020928946559093,10955
2453,385,0,3,1945,6690,4888,1950,17709,42610,1.679149076935522,11019
1604,239,0,8,1929,6292,3490,2000,17312,51266,2.58721265602082,11020
1597,237,0,8,1994,6524,9315,1933,17547,38206,1.595796313735431,11023
2646,418,0,2,1971,6359,3710,1961,17409,173054,1.030042738997406,11050
1264,179,0,3,1991,6582,4961,2000,17682,42662,8.050369082273647,11100
1282,182,0,3,1969,6436,3927,2000,17543,24953,-0.67664054319669,11107
277,36,0,4,1985,11727,225567,1963,22854,119973,1.012430135785947,11127
951,136,0,1,1976,6546,4781,2000,17707,247037,1.028237864678315,11161
2129,324,0,0,2000,6697,4763,2000,17901,265343,1.024581384203767,11204
238,31,0,6,1948,6462,4340,1953,17695,76168,1.163024695858147,11233
325,43,0,2,1906,6601,5257,1997,17852,181578,1.050880092863375,11251
2467,387,0,5,1888,12251,231903,2000,23515,94199,1.006025871566165,11264
952,136,0,2,1976,6546,4781,1938,17811,258597,1.010605697431409,11265
674,92,0,4,1971,6595,4388,2000,17862,59979,1.878426563496735,11267
2228,340,0,1,2000,6557,4591,2000,17831,163071,1.068635731201006,11274
897,129,0,1,2000,6616,4821,2000,17898,266330,1.02474408106035,11282
2811,453,0,3,2000,6530,4109,2000,17819,253109,1.027509870038832,11289
691,95,0,8,1939,11603,232895,2000,22908,390201,1.004699272540238,11305
2934,481,0,2,1974,6669,6140,1929,18009,125805,1.042652804400933,11340
63,8,0,2,2000,6664,4656,1896,18017,69326,1.112985676561659,11353
1476,213,0,8,2000,6528,4638,1942,17891,243077,1.012752021080555,11363
1198,170,0,1,1979,6899,4897,2000,18289,29786,-1.223377095065047,11390
2209,337,0,1,1972,6385,3695,1993,17779,75150,1.363497071830418,11394
2251,344,0,1,2000,6637,5067,2000,18032,146850,1.087917718353163,11395
3,1,0,2,1991,6546,4317,1998,17945,232766,1.031911926727949,11399
2419,377,0,1,1946,6820,5808,2000,18221,233400,1.033140862971126,11401
2827,456,0,5,1990,6967,4910,2000,18372,270058,1.024589157898788,11405
303,40,0,2,1968,6619,4644,2000,18046,70354,1.540016211394832,11427
1762,266,0,2,1955,6579,4658,2000,18030,100634,1.209569111466933,11451
1128,160,0,6,2000,6267,3640,1939,17740,111921,1.062230503834564,11473
1678,254,0,8,1935,6293,3677,2000,17768,180139,1.057737262526725,11475
807,114,0,3,2000,6640,8912,2000,18152,240400,1.031736709143747,11512
2,1,0,1,1991,6546,4317,2000,18092,147024,1.090336856571403,11546
1870,282,0,6,2000,6458,4135,1935,18032,57590,1.271908980855009,11574
712,98,0,7,2000,16614,318608,1927,28190,340820,1.002623674463335,11576
144,18,0,3,1992,6897,10092,1930,18506,73544,1.137504892529277,11609
2092,318,0,0,2000,6475,4316,2000,18087,243832,1.031479910453599,11612
543,73,0,2,2000,6726,4610,1981,18352,248270,1.021216876058019,11626
1933,292,0,0,2000,6589,4463,2000,18248,306532,1.019860227258232,11659
1584,234,0,8,1898,6621,4820,1998,18293,191618,1.05019790701291,11672
1868,282,0,2,2000,6458,4135,1919,18213,40140,1.626459937671995,11755
1408,202,0,3,2000,6675,8971,1941,18453,252004,1.012579837591755,11778
677,92,0,8,1971,6595,4388,1999,18374,20192,-0.344349735400105,11779
87,11,0,4,1990,6726,6606,1975,18523,294161,1.014094824996398,11797
514,69,0,4,1934,6990,6181,2000,18796,292600,1.022388299884573,11806
1435,206,0,5,1951,6547,4213,1980,18355,16426,-0.334897714205119,11808
270,35,0,6,1935,12029,231044,2000,23857,60968,1.011844383062824,11828
1308,185,0,7,2000,6676,4552,1974,18507,186519,1.03547329653483,11831
210,26,0,8,1952,6693,8806,2000,18584,266419,1.027477165073396,11891
1299,184,0,8,1979,6453,4423,2000,18354,83995,1.36638424173246,11901
177,22,0,3,2000,6890,5234,2000,18841,257005,1.029961030964088,11951
