GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-12-12-00-830,1,830,32178ef1-4f7a-467d-859e-1554109a1c2c,2020-10-12 19:02:29,153895f5-f789-419c-96c5-6816eb641824,2020-10-12 19:00:39,3,986,986,986,out/10-12-12-00/log,out/10-12-12-00/base_samples830,,out/10-12-12-00/bit1_samples830,out/10-12-12-00/bit0_samples830,5.87772129759065,,0.203855832083392,96:88:AB:AB:E9:EA,No,017371402075
10-12-12-00-284,1,284,23f95b52-26b7-4a15-b2e4-9f92e0ce7936,2020-10-12 19:02:29,455847e4-a24b-4c6d-a1a8-89f7ec32ebe2,2020-10-12 19:00:30,3,586,586,586,out/10-12-12-00/log,out/10-12-12-00/base_samples284,,out/10-12-12-00/bit1_samples284,out/10-12-12-00/bit0_samples284,6.05235159300931,,0.153437684721365,D2:C9:84:2F:DE:54,No,017371402075
10-12-12-00-741,1,741,df9ad492-6ee7-4140-90ab-e7bdd1669d7a,2020-10-12 19:02:29,ddf0ec34-9516-4c16-9a25-85a5650eb99a,2020-10-12 19:00:39,3,980,980,980,out/10-12-12-00/log,out/10-12-12-00/base_samples741,,out/10-12-12-00/bit1_samples741,out/10-12-12-00/bit0_samples741,6.76226452713368,,0.809277784997899,FE:09:F0:35:3E:86,No,017371402075
10-12-12-00-162,1,162,d336111a-31ad-40e8-9f4a-f17d242c6bf8,2020-10-12 19:02:29,92be8d6b-8f91-4357-b6eb-42ed0081b798,2020-10-12 19:00:30,3,566,566,566,out/10-12-12-00/log,out/10-12-12-00/base_samples162,,out/10-12-12-00/bit1_samples162,out/10-12-12-00/bit0_samples162,6.38054720716333,,0.56765208183575,EA:33:AA:12:E2:2C,No,017371402075
10-12-12-00-910,1,910,79bef75e-67a9-4e69-8bb3-8b5f5952982d,2020-10-12 19:02:29,3fbee1fb-c3e6-4d71-889d-ce88cd5d84e3,2020-10-12 19:00:41,3,910,910,910,out/10-12-12-00/log,out/10-12-12-00/base_samples910,,out/10-12-12-00/bit1_samples910,out/10-12-12-00/bit0_samples910,0,,0.195803593041761,56:01:D4:92:59:84,No,017371402075
10-12-12-00-976,1,976,a352dd32-7e89-4796-b85c-5752265c451e,2020-10-12 19:02:29,f7791daa-c978-4729-9950-db6bafeaddf8,2020-10-12 19:00:42,3,976,976,976,out/10-12-12-00/log,out/10-12-12-00/base_samples976,,out/10-12-12-00/bit1_samples976,out/10-12-12-00/bit0_samples976,0,,0.455126429512824,D2:3B:A4:4B:AF:0A,No,017371402075
10-12-12-00-338,1,338,fb38450f-0337-4822-955a-bf4661f67a31,2020-10-12 19:02:29,fd64fe02-3f82-48dc-ba74-12aa88d8d9e0,2020-10-12 19:00:33,3,552,552,552,out/10-12-12-00/log,out/10-12-12-00/base_samples338,,out/10-12-12-00/bit1_samples338,out/10-12-12-00/bit0_samples338,6.17751791939934,,0.610341451922684,5A:FE:83:8D:16:B2,No,017371402075
10-12-12-00-903,1,903,c578a9fa-50b1-4285-8991-102166c4a164,2020-10-12 19:02:29,68aa1b6b-5950-4722-bb69-5c9868430dbe,2020-10-12 19:00:40,3,903,903,903,out/10-12-12-00/log,out/10-12-12-00/base_samples903,,out/10-12-12-00/bit1_samples903,out/10-12-12-00/bit0_samples903,0,,0.235095028970031,A6:A6:79:6F:D4:57,No,017371402075
10-12-12-00-863,1,863,b059dc18-d759-4599-ba61-2c6fb0c76f9c,2020-10-12 19:02:29,27f360fb-21bb-4b67-9dac-ecad3af26dac,2020-10-12 19:00:39,3,863,863,863,out/10-12-12-00/log,out/10-12-12-00/base_samples863,,out/10-12-12-00/bit1_samples863,out/10-12-12-00/bit0_samples863,0,,0.12874175607943,12:F1:C7:3A:BB:10,No,017371402075
10-12-12-00-403,1,403,d9dd3f5f-3184-487d-868d-cb9b05f5cf23,2020-10-12 19:02:29,4830357a-4f99-428b-9d79-1b6634f9ec60,2020-10-12 19:00:30,3,403,403,403,out/10-12-12-00/log,out/10-12-12-00/base_samples403,,out/10-12-12-00/bit1_samples403,out/10-12-12-00/bit0_samples403,0,,0.223216965878808,B2:CC:37:6B:F6:32,No,017371402075
10-12-12-00-588,1,588,0e1182f3-44e4-4770-b4db-050508a3e4dd,2020-10-12 19:02:29,c84a21e4-05f8-40c6-acf8-749c4fac256e,2020-10-12 19:00:37,3,900,900,900,out/10-12-12-00/log,out/10-12-12-00/base_samples588,,out/10-12-12-00/bit1_samples588,out/10-12-12-00/bit0_samples588,7.99656610007885,,0.267166303873715,7E:65:BD:F9:EE:7D,No,017371402075
