GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-10-12-03-387,1,387,065e91c4-456a-4720-8252-69b304265a73,2020-10-10 19:05:34,0597ebc9-686f-4d52-acf2-722430273cba,2020-10-10 19:03:36,3,902,902,902,out/10-10-12-03/log,out/10-10-12-03/base_samples387,,out/10-10-12-03/bit1_samples387,out/10-10-12-03/bit0_samples387,8.00477186445401,,0.404138638343105,02:53:9E:3B:28:87,No,017371402075
10-10-12-03-185,1,185,44b74047-9ec5-484d-bf05-d1fe302f7ac0,2020-10-10 19:05:34,a9d3b413-3f68-49ef-a5be-4f2d6de2ea2c,2020-10-10 19:03:38,3,803,803,803,out/10-10-12-03/log,out/10-10-12-03/base_samples185,,out/10-10-12-03/bit1_samples185,out/10-10-12-03/bit0_samples185,6.77976097176832,,0.302819371632182,76:AC:42:CD:CD:D4,No,017371402075
10-10-12-03-262,1,262,638b90af-fbe2-419f-8a3b-7e2afdf5a571,2020-10-10 19:05:34,4075e389-0975-44b0-a775-c6e1e323d46f,2020-10-10 19:03:36,3,878,878,878,out/10-10-12-03/log,out/10-10-12-03/base_samples262,,out/10-10-12-03/bit1_samples262,out/10-10-12-03/bit0_samples262,8.38217028845051,,0.83480793589812,A2:DB:47:04:16:ED,No,017371402075
10-10-12-03-52,1,52,0978b4db-4f1e-4ae5-bb22-f0b591636c72,2020-10-10 19:05:34,1f0e30d5-b149-4b65-8052-d2ef8d97f49c,2020-10-10 19:03:36,3,946,946,946,out/10-10-12-03/log,out/10-10-12-03/base_samples52,,out/10-10-12-03/bit1_samples52,out/10-10-12-03/bit0_samples52,8.68178168806722,,0.523159581582203,8E:98:A8:F9:17:8B,No,017371402075
10-10-12-03-755,1,755,196d79ef-fe73-48c5-81bb-947ab86162fa,2020-10-10 19:05:34,9d82ea57-84be-4e94-a3bb-d4aa09f06620,2020-10-10 19:03:40,3,910,910,910,out/10-10-12-03/log,out/10-10-12-03/base_samples755,,out/10-10-12-03/bit1_samples755,out/10-10-12-03/bit0_samples755,8.48355463844535,,0.472701291127838,96:49:AC:84:2F:41,No,017371402075
10-10-12-03-94,1,94,e2e890f4-15d2-45ef-b9ca-4f1cfdb683b7,2020-10-10 19:05:34,caf0e084-bc6f-4dce-b5c2-7783533d6a9c,2020-10-10 19:03:36,3,921,921,921,out/10-10-12-03/log,out/10-10-12-03/base_samples94,,out/10-10-12-03/bit1_samples94,out/10-10-12-03/bit0_samples94,8.78710979537487,,0.155912164430453,42:E9:17:F4:FB:B1,No,017371402075
10-10-12-03-758,1,758,3395e6a1-daf3-4c90-b4f4-40bbdd344d92,2020-10-10 19:05:34,ddf4792b-b2f7-4c42-9b36-8de0cde05729,2020-10-10 19:03:43,3,873,873,873,out/10-10-12-03/log,out/10-10-12-03/base_samples758,,out/10-10-12-03/bit1_samples758,out/10-10-12-03/bit0_samples758,5.88068682495279,,1.12976006133172,F2:C7:08:C3:F2:BE,No,017371402075
10-10-12-03-503,1,503,93e94d0a-8f2d-4d86-a99f-616bfc5500b1,2020-10-10 19:05:34,08fbbb8a-cd0b-4545-8e58-d790c160fbdf,2020-10-10 19:03:36,3,898,898,898,out/10-10-12-03/log,out/10-10-12-03/base_samples503,,out/10-10-12-03/bit1_samples503,out/10-10-12-03/bit0_samples503,8.01752235638448,,0.650316398595319,22:B6:BF:72:FE:96,No,017371402075
10-10-12-03-472,1,472,3becb96d-6117-45a0-a381-390a24d997d4,2020-10-10 19:05:34,feef094b-beba-4b82-bac0-39a81986fcef,2020-10-10 19:03:36,3,801,801,801,out/10-10-12-03/log,out/10-10-12-03/base_samples472,,out/10-10-12-03/bit1_samples472,out/10-10-12-03/bit0_samples472,6.91020595086017,,0.967263971726508,6A:C3:69:45:AB:70,No,017371402075
10-10-12-03-820,1,820,9d3f9383-7ac3-40bf-a07e-65aadfab3a9e,2020-10-10 19:05:34,ae392648-5d27-4f37-bb19-95196780e26d,2020-10-10 19:03:43,3,837,837,837,out/10-10-12-03/log,out/10-10-12-03/base_samples820,,out/10-10-12-03/bit1_samples820,out/10-10-12-03/bit0_samples820,6.2899582399948,,0.572416065816629,5A:38:37:0D:27:76,No,017371402075
