In,Start Time,Node Name,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575690055418,169.254.204.77,2500.012,ce:ab:91:99:76:2b,90.00B,90.00B,23.74525022506714,17.732884407043457
Both,1575690055392,169.254.14.117,2500.01,2a:01:2c:01:c4:fd,90.00B,90.00B,23.782613515853882,17.770670890808105
Both,1575690055401,169.254.37.53,2500.0,56:c3:47:32:0a:1d,90.00B,90.00B,23.778456926345825,17.7662672996521
Both,1575690055429,169.254.105.21,2500.01,5e:0d:db:07:f2:6a,90.00B,90.00B,23.748625993728638,17.736553192138672
Both,1575690055400,169.254.14.157,2500.01,ca:81:72:f6:27:2d,90.00B,90.00B,23.787023782730103,17.774781227111816
Both,1575690055479,169.254.105.45,2500.01,ea:60:f7:03:d4:2b,90.00B,176.00B,23.705709218978882,17.693291187286377
Both,1575690055352,169.254.188.213,2500.01,6a:a9:9d:a8:a8:ac,90.00B,176.00B,23.858607053756714,17.845978021621704
Both,1575690055484,169.254.85.21,2500.004,f2:28:47:8c:2d:0d,90.00B,90.00B,23.73436713218689,17.72219181060791
Both,1575690055476,169.254.155.13,2500.01,aa:75:a1:84:d3:39,90.00B,176.00B,23.73696804046631,17.729206323623657
Both,1575690055348,169.254.17.65,2500.01,f2:13:0d:bd:49:51,90.00B,90.00B,23.876575469970703,17.86427640914917
Both,1575690055489,169.254.155.77,2500.01,7e:2d:6a:25:b6:0b,90.00B,180.00B,23.740457773208618,17.728469610214233
Both,1575690055492,169.254.33.141,2500.008,06:49:4c:00:5d:3f,90.00B,90.00B,23.74855899810791,17.735427141189575
Both,1575690055428,169.254.14.105,2500.01,72:e3:52:37:e8:b4,90.00B,90.00B,23.821057558059692,17.808903217315674
Both,1575690055310,169.254.186.189,2500.01,d6:6f:42:16:81:a5,90.00B,90.00B,23.953509092330933,17.9416663646698
Both,1575690055322,169.254.118.5,2500.002,3a:d7:29:3e:b6:77,90.00B,90.00B,23.946085691452026,17.934044122695923
Both,1575690055438,169.254.14.221,2500.01,9e:a4:48:65:b9:9f,180.00B,90.00B,23.83236265182495,17.820039749145508
Both,1575690055424,169.254.83.197,2500.01,3e:31:fa:ad:3b:58,90.00B,90.00B,23.846046686172485,17.83414578437805
Both,1575690055310,169.254.164.21,2500.01,86:c4:1d:28:fe:13,90.00B,90.00B,23.960458993911743,17.948323726654053
