GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start
09-22-14-58-31,1,31,7ed75f58-dbaa-40bc-9186-b4152fa86fcf,2020-09-22 21:59:08,add1247f-a0c0-424c-bbd1-fd0308bc3bec,2020-09-22 21:58:09,3,31,31,31,out/09-22-14-58/log,out/09-22-14-58/base_samples31,,out/09-22-14-58/bit1_samples31,out/09-22-14-58/bit0_samples31,0,,0.495635855050412,A2:02:24:6B:33:E3,No
09-22-14-58-62,1,62,e1052633-3d72-4972-b06a-e2a454675b18,2020-09-22 21:59:08,bcfd72df-8f1e-4bbc-b105-1c912a4586a2,2020-09-22 21:58:10,3,62,62,62,out/09-22-14-58/log,out/09-22-14-58/base_samples62,,out/09-22-14-58/bit1_samples62,out/09-22-14-58/bit0_samples62,0,,0.155891752279233,A2:67:C9:2E:2F:5E,No
09-22-14-58-77,1,77,af433884-ebf0-46d5-b611-87b722427f1d,2020-09-22 21:59:08,961a210c-cdbc-47dc-9144-45b1d2b54353,2020-09-22 21:58:09,3,77,77,77,out/09-22-14-58/log,out/09-22-14-58/base_samples77,,out/09-22-14-58/bit1_samples77,out/09-22-14-58/bit0_samples77,0,,0.326242603300723,56:E6:81:7D:C1:BC,No
09-22-14-58-81,1,81,86429aa8-69de-409a-b7a9-8604c84b58d3,2020-09-22 21:59:08,b8a08ff3-8236-4521-923a-9ebcb51a3b6b,2020-09-22 21:58:09,3,81,81,81,out/09-22-14-58/log,out/09-22-14-58/base_samples81,,out/09-22-14-58/bit1_samples81,out/09-22-14-58/bit0_samples81,0,,0.391646329278507,3A:78:98:00:35:00,No
09-22-14-58-26,1,26,efa7ab45-ec10-4b43-82ff-0fd8664cac71,2020-09-22 21:59:08,5763a8f7-1a89-4348-9efe-b8c3b41523ec,2020-09-22 21:58:09,3,64,64,64,out/09-22-14-58/log,out/09-22-14-58/base_samples26,,out/09-22-14-58/bit1_samples26,out/09-22-14-58/bit0_samples26,6.09839792662015,,0.409033174322744,9A:FE:D2:36:E3:FC,No
09-22-14-58-28,1,28,398d931b-bd81-4c9e-9738-ec5f1e989576,2020-09-22 21:59:08,e88c948f-bbc3-41f1-bed8-ceb978027f99,2020-09-22 21:58:09,3,28,28,28,out/09-22-14-58/log,out/09-22-14-58/base_samples28,,out/09-22-14-58/bit1_samples28,out/09-22-14-58/bit0_samples28,0,,0.151808563508863,CA:F8:37:E5:8E:F9,No
09-22-14-58-94,1,94,b84389d0-800b-4121-ab40-5d8b06f506f1,2020-09-22 21:59:08,eb0235d6-b83e-450f-b08f-c57be0e5f4d1,2020-09-22 21:58:09,3,94,94,94,out/09-22-14-58/log,out/09-22-14-58/base_samples94,,out/09-22-14-58/bit1_samples94,out/09-22-14-58/bit0_samples94,0,,0.188313645952091,C6:D6:38:74:66:E1,No
09-22-14-58-7,1,7,f3496c47-5c1c-4d35-b19e-e5737bbe8716,2020-09-22 21:59:08,b8204ed8-087b-4f9b-8604-9cddf16d70c1,2020-09-22 21:58:09,3,7,7,7,out/09-22-14-58/log,out/09-22-14-58/base_samples7,,out/09-22-14-58/bit1_samples7,out/09-22-14-58/bit0_samples7,0,,0.280704793555436,8E:E0:4B:1B:11:88,No
09-22-14-58-45,1,45,3aec49e9-619b-474e-9fd1-8b9b92d03131,2020-09-22 21:59:08,bad8aa76-6bf4-4981-af21-ea5cc226226e,2020-09-22 21:58:09,3,45,45,45,out/09-22-14-58/log,out/09-22-14-58/base_samples45,,out/09-22-14-58/bit1_samples45,out/09-22-14-58/bit0_samples45,0,,0.324884887147223,12:C3:A5:FC:5B:C9,No
09-22-14-58-5,1,5,3c41ad85-b614-4bd5-9480-b90783052289,2020-09-22 21:59:08,70eb53cf-c6c6-4f42-8e42-5f509b75e184,2020-09-22 21:58:09,3,5,5,5,out/09-22-14-58/log,out/09-22-14-58/base_samples5,,out/09-22-14-58/bit1_samples5,out/09-22-14-58/bit0_samples5,0,,0.147099731899824,36:13:8B:DD:46:A8,No
09-22-14-58-76,1,76,d6d3ca0d-7b23-48a4-ab8c-200b7fbb4101,2020-09-22 21:59:08,ad038ab5-6f4d-45ff-bbed-4ed7b13b0402,2020-09-22 21:58:10,3,76,76,76,out/09-22-14-58/log,out/09-22-14-58/base_samples76,,out/09-22-14-58/bit1_samples76,out/09-22-14-58/bit0_samples76,0,,0.2757701367607,EE:08:98:48:62:F2,No
