Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
990,152,0,5,971,6115,2538,969,6091,1618,0.803921361154909,-24
1432,232,0,9,987,6775,4833,971,6751,4849,0.912683372120321,-24
2385,410,0,6,942,6101,3203,931,6077,2638,0.859493371436741,-24
540,78,0,0,1000,6179,2944,989,6158,2688,0.868064567653031,-21
933,143,0,8,1000,6441,4003,918,6420,3463,0.902024512707343,-21
1235,196,0,0,982,6653,4939,988,6632,9942,0.952625296883387,-21
1660,274,0,9,935,6542,4648,980,6521,4118,0.916812671751554,-21
1186,186,0,9,974,6266,3654,988,6246,3920,0.90694846573253,-20
2339,401,0,9,986,6348,3557,995,6328,3919,0.905336688696132,-20
413,58,0,9,992,6526,3854,1000,6510,4127,0.928754310690309,-16
255,34,0,9,1000,6283,3588,990,6268,3323,0.922928151496472,-15
1271,201,0,9,987,6551,4479,981,6536,4391,0.940215757176074,-15
1551,258,0,9,990,6447,4013,1000,6432,3586,0.929984333887386,-15
2594,455,0,9,975,6417,3648,981,6402,3399,0.925078402474043,-15
105,13,0,9,1000,6314,3433,961,6301,3603,0.934876552037535,-13
541,78,0,4,1000,6179,2944,972,6167,5941,0.954892739970594,-12
974,149,0,8,968,6093,3245,978,6082,2329,0.931624546568636,-11
2657,469,0,3,988,6351,3853,998,6343,3762,0.962676895429852,-8
1604,266,0,4,1000,6206,3840,982,6199,3508,0.966204993052853,-7
1495,246,0,9,958,6366,3871,969,6360,3588,0.971864564432224,-6
1586,263,0,9,1000,6674,5105,976,6668,5535,0.980033523040332,-6
2556,448,0,5,942,6051,2626,972,6045,2266,0.957384776294008,-6
745,112,0,2,947,6474,4631,1000,6470,3953,0.983691203833785,-4
2662,470,0,5,999,5940,1877,913,5936,2009,0.964221507318098,-4
1937,323,0,7,1000,6202,3011,936,6199,3107,0.982812246764807,-3
15,2,0,6,1000,6448,3939,962,6446,3625,0.990660166967198,-2
231,32,0,0,979,6590,4592,979,6589,4587,0.996154621740195,-1
1545,258,0,2,990,6447,4013,1000,6447,4804,1.0,0
2030,339,0,9,948,7327,6545,996,7327,6158,1.0,0
1975,329,0,9,1000,6480,3769,1000,6482,3974,0.990788964641624,2
305,41,0,9,1000,6687,4785,1000,6690,5400,0.989510801912086,3
1969,328,0,9,994,6764,4806,1000,6767,5832,0.989998908812299,3
1394,225,0,8,1000,6504,4001,967,6508,4803,0.984019932138738,4
2390,411,0,9,997,6831,4780,1000,6835,4769,0.985068821022428,4
2549,447,0,6,993,6340,3463,958,6344,3877,0.980853044403777,4
