In,Start Time,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575685736589,f6:85:77:77:1b:7e,90.00B,176.00B,23.43949604034424,17.432873487472534
Both,1575685736542,8a:ed:60:40:4c:31,176.00B,90.00B,23.491321325302124,17.4750235080719
Both,1575685736455,c2:0e:5a:f2:24:32,90.00B,90.00B,23.580543518066406,17.57386589050293
Both,1575685736622,d6:b7:4d:ff:cd:d5,90.00B,90.00B,23.41972827911377,17.41308903694153
Both,1575685736484,e2:17:32:4a:4f:31,90.00B,90.00B,23.568960428237915,17.562337160110474
Both,1575685736542,a6:58:e9:5f:e1:91,90.00B,90.00B,23.502162218093872,17.495535850524902
Both,1575685736625,12:10:2c:3b:0a:34,90.00B,90.00B,23.427553415298462,17.420881986618042
Both,1575685736527,c2:fc:1a:c0:b7:ee,90.00B,90.00B,23.534937858581543,17.528314352035522
Both,1575685736563,aa:5d:1f:9e:71:5b,90.00B,90.00B,23.49655032157898,17.489917039871216
Both,1575685736607,0e:ef:c1:1b:21:11,90.00B,90.00B,23.455612897872925,17.448962926864624
Both,1575685736591,2e:10:5c:bb:8c:10,90.00B,90.00B,23.483336210250854,17.47671937942505
Both,1575685736590,56:c9:3e:2e:0d:48,90.00B,176.00B,23.50142216682434,17.494521856307983
Both,1575685736662,92:29:1d:c7:62:61,180.00B,90.00B,23.43719220161438,17.430559158325195
Both,1575685736552,ea:0e:4d:cf:ab:d6,90.00B,90.00B,23.555183172225952,17.5484356880188
Both,1575685736485,ee:ef:e9:dd:15:67,90.00B,90.00B,23.629190921783447,17.622607231140137
Both,1575685736556,3a:76:56:7f:94:a8,90.00B,90.00B,23.567078113555908,17.55381441116333
Both,1575685736534,f2:21:ed:9e:35:4e,90.00B,90.00B,23.591684818267822,17.585041046142578
Both,1575685736511,5a:b9:d3:2a:7f:d2,90.00B,180.00B,23.61630630493164,17.60962414741516
Both,1575685736491,6e:2d:3d:e0:eb:e2,90.00B,90.00B,23.63958716392517,17.63297462463379
Both,1575685736628,2a:4a:b2:bc:43:86,90.00B,90.00B,23.500048398971558,17.493171215057373
Both,1575685736537,0a:c7:4e:f2:a2:22,90.00B,90.00B,23.597377061843872,17.590696811676025
Both,1575685736585,8e:20:a2:7a:e0:fe,90.00B,90.00B,23.550283432006836,17.543638229370117
Both,1575685736524,6e:25:99:15:7a:a6,90.00B,90.00B,23.615729331970215,17.609095573425293
Both,1575685736579,2e:bd:05:21:38:38,90.00B,90.00B,23.570035219192505,17.5633807182312
Both,1575685736505,22:b3:a2:65:ec:5d,90.00B,90.00B,23.64798593521118,17.641793727874756
Both,1575685736523,e6:6c:1d:ae:2c:c8,90.00B,90.00B,23.63426399230957,17.627647638320923
Both,1575685736545,8a:65:23:0e:a7:51,90.00B,90.00B,23.612492084503174,17.605888605117798
Both,1575685736537,1a:d1:8b:f0:9b:7a,90.00B,90.00B,23.62198519706726,17.615371704101562
Both,1575685736542,9e:17:07:f5:07:03,180.00B,90.00B,23.617151260375977,17.610539197921753
Both,1575685736554,e6:df:49:0d:4a:97,90.00B,176.00B,23.611381769180298,17.6047465801239
Both,1575685736614,7a:da:0e:44:03:4a,90.00B,90.00B,23.55149817466736,17.54486846923828
Both,1575685736538,d6:8b:4c:14:b6:68,90.00B,90.00B,23.63307023048401,17.626468420028687
Both,1575685736492,9a:54:2b:9d:dd:4b,90.00B,90.00B,23.677130222320557,17.670525550842285
Both,1575685736484,a6:27:b0:3e:0b:ef,90.00B,90.00B,23.692200660705566,17.68557834625244
Both,1575685736502,ae:00:4b:b9:6a:4c,90.00B,90.00B,23.67508840560913,17.66840410232544
Both,1575685736559,e6:a9:3b:44:07:98,176.00B,90.00B,23.627371788024902,17.6207537651062
Both,1575685736562,62:4a:8b:03:bd:08,90.00B,180.00B,23.64003586769104,17.633415699005127
Both,1575685736519,ea:77:f1:5c:96:48,180.00B,90.00B,23.686837434768677,17.680164098739624
Both,1575685736499,5e:ae:1f:5f:6a:d1,90.00B,90.00B,23.712239503860474,17.705610752105713
Both,1575685736585,6a:d6:b3:d3:6f:c8,90.00B,90.00B,23.628254652023315,17.621575355529785
Both,1575685736585,2e:b5:cc:4b:1b:d6,90.00B,90.00B,23.637654304504395,17.63071036338806
Both,1575685736468,ba:0a:d8:b7:11:a8,90.00B,176.00B,23.75943875312805,17.752727508544922
Both,1575685736537,a6:07:6a:6b:20:96,90.00B,90.00B,23.69295907020569,17.68635129928589
Both,1575685736616,82:ae:0f:bd:ba:20,90.00B,90.00B,23.615288496017456,17.608644008636475
Both,1575685736552,66:71:de:77:b5:3c,90.00B,90.00B,23.68331480026245,17.676716566085815
Both,1575685736572,42:f2:e4:d8:fb:c6,90.00B,90.00B,23.665327310562134,17.658726930618286
Both,1575685736558,fa:87:f9:8b:cb:f0,90.00B,176.00B,23.690608501434326,17.68390941619873
Both,1575685736492,c6:0a:82:fe:c3:ca,90.00B,90.00B,23.758631706237793,17.751951932907104
Both,1575685736836,9e:35:70:4a:02:e5,180.00B,90.00B,23.415066957473755,17.408459186553955
Both,1575685737143,52:dc:06:3f:a2:e6,90.00B,90.00B,23.110047101974487,17.103443384170532
Both,1575685736567,c6:73:b7:2e:2b:a0,90.00B,90.00B,23.683813333511353,17.677210330963135
Both,1575685736510,46:ca:a6:9e:6e:f3,180.00B,90.00B,23.789243459701538,17.782582759857178
Both,1575685736490,66:21:21:d3:00:00,90.00B,90.00B,23.80503249168396,17.79832673072815
Both,1575685736553,36:aa:fc:53:84:02,176.00B,90.00B,23.75537109375,17.74875259399414
Both,1575685736553,52:1a:dc:3d:27:7c,90.00B,176.00B,23.76733136177063,17.760711431503296
Both,1575685736506,56:6b:e4:3e:72:9d,90.00B,90.00B,23.823555946350098,17.816940784454346
Both,1575685736524,ea:0c:3d:6d:e4:cd,90.00B,90.00B,23.811614274978638,17.804993391036987
Both,1575685736599,ee:ce:f5:0e:2b:3e,90.00B,176.00B,23.738123178482056,17.731522798538208
Both,1575685736489,6e:ce:60:e2:b8:23,90.00B,90.00B,23.855637311935425,17.849023580551147
Both,1575685736528,ba:3d:88:47:14:37,90.00B,90.00B,23.819570064544678,17.81294345855713
Both,1575685736705,c6:1b:5e:95:09:9d,90.00B,90.00B,23.644168853759766,17.637542963027954
Both,1575685736535,be:3b:68:b6:bc:34,90.00B,90.00B,23.81113576889038,17.804367065429688
Both,1575685736537,62:dc:53:8e:4b:63,90.00B,90.00B,23.8147234916687,17.808082818984985
Both,1575685736527,ba:3e:e5:e6:a6:a8,90.00B,90.00B,23.829238891601562,17.822631359100342
Both,1575685736499,c6:84:c3:62:03:d1,90.00B,90.00B,23.859414100646973,17.852816581726074
Both,1575685736599,ea:e0:1b:8d:4f:35,90.00B,90.00B,23.756128787994385,17.749448537826538
Both,1575685736524,32:4c:c7:46:1d:6a,90.00B,90.00B,23.839797735214233,17.833176374435425
Both,1575685736610,86:bb:4e:e6:2a:1d,90.00B,180.00B,23.760682344436646,17.754037618637085
Both,1575685736530,12:db:ef:19:e0:1b,176.00B,90.00B,23.850239515304565,17.843623161315918
Both,1575685736487,ca:d6:5a:31:09:e8,90.00B,90.00B,23.894322633743286,17.887712717056274
Both,1575685736553,f6:e9:07:e6:03:37,90.00B,90.00B,23.83430767059326,17.827666759490967
Both,1575685736584,9e:85:94:06:f6:9c,90.00B,90.00B,23.815356492996216,17.808741092681885
Both,1575685736477,8e:1d:8e:88:c4:01,90.00B,90.00B,23.90338659286499,17.896782636642456
Both,1575685736597,ae:fd:e3:d5:c3:32,90.00B,176.00B,23.808288097381592,17.801677227020264
Both,1575685736657,c2:af:dc:ba:f0:61,90.00B,90.00B,23.74993062019348,17.743304014205933
Both,1575685736504,a6:22:72:25:52:4c,90.00B,90.00B,23.90034818649292,17.893739223480225
Both,1575685736524,f2:c1:74:d8:f9:ed,90.00B,90.00B,23.888559818267822,17.881951093673706
Both,1575685736569,8e:96:f1:ce:72:30,180.00B,90.00B,23.84920883178711,17.84202551841736
Both,1575685736506,9e:0a:0a:54:40:5d,90.00B,90.00B,23.90834927558899,17.90173578262329
Both,1575685736513,32:2c:f5:d3:2a:74,90.00B,90.00B,23.950944185256958,17.944342613220215
